Panel,Panel description,Controller,Device ID,Point Tag,I/O,System,Units,Description,Notes / Basis
LCP-2F,2F air-side panel,DDC-2F-02,AC-11,AC-11.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-2F,2F air-side panel,DDC-2F-02,AC-11,AC-11.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-2F,2F air-side panel,DDC-2F-02,AC-11,AC-11.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-2F,2F air-side panel,DDC-2F-02,AC-11,AC-11.SAT,AI,Air side,°C,Supply air temp,SAT/RAT setpoint schedule
LCP-2F,2F air-side panel,DDC-2F-02,AC-11,AC-11.RAT,AI,Air side,°C,Return air temp,
LCP-2F,2F air-side panel,DDC-2F-02,AC-11,AC-11.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-2F,2F air-side panel,DDC-2F-02,AC-11,AC-11.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-2F,2F air-side panel,DDC-2F-02,AC-11,AC-11.FLT,BI,Air side,-,Filter dirty (DP),
LCP-2F,2F air-side panel,DDC-2F-02,AC-11,AC-11.OAD,AO,Air side,%,Outdoor-air damper,
LCP-2F,2F air-side panel,DDC-2F-02,AC-11,AC-11.FRZ,BI,Air side,-,Freeze protection stat,
LCP-2F,2F air-side panel,DDC-2F-02,AC-12,AC-12.RUN,BI,Air side,-,Supply fan run status,
LCP-2F,2F air-side panel,DDC-2F-02,AC-12,AC-12.TRIP,BI,Air side,-,Supply fan fault,
LCP-2F,2F air-side panel,DDC-2F-02,AC-12,AC-12.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-2F,2F air-side panel,DDC-2F-02,AC-12,AC-12.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-2F,2F air-side panel,DDC-2F-02,AC-12,AC-12.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-2F,2F air-side panel,DDC-2F-02,AC-12,AC-12.SAT,AI,Air side,°C,Supply air temp,SAT/RAT setpoint schedule
LCP-2F,2F air-side panel,DDC-2F-02,AC-12,AC-12.RAT,AI,Air side,°C,Return air temp,
LCP-2F,2F air-side panel,DDC-2F-02,AC-12,AC-12.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-2F,2F air-side panel,DDC-2F-02,AC-12,AC-12.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-2F,2F air-side panel,DDC-2F-02,AC-12,AC-12.FLT,BI,Air side,-,Filter dirty (DP),
LCP-2F,2F air-side panel,DDC-2F-02,AC-12,AC-12.OAD,AO,Air side,%,Outdoor-air damper,
LCP-2F,2F air-side panel,DDC-2F-02,AC-12,AC-12.FRZ,BI,Air side,-,Freeze protection stat,
LCP-2F,2F air-side panel,DDC-2F-02,AC-13,AC-13.RUN,BI,Air side,-,Supply fan run status,
LCP-2F,2F air-side panel,DDC-2F-02,AC-13,AC-13.TRIP,BI,Air side,-,Supply fan fault,
LCP-2F,2F air-side panel,DDC-2F-02,AC-13,AC-13.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-2F,2F air-side panel,DDC-2F-02,AC-13,AC-13.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-2F,2F air-side panel,DDC-2F-02,AC-13,AC-13.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-2F,2F air-side panel,DDC-2F-02,AC-13,AC-13.SAT,AI,Air side,°C,Supply air temp,SAT/RAT setpoint schedule
LCP-2F,2F air-side panel,DDC-2F-02,AC-13,AC-13.RAT,AI,Air side,°C,Return air temp,
LCP-2F,2F air-side panel,DDC-2F-02,AC-13,AC-13.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-2F,2F air-side panel,DDC-2F-02,AC-13,AC-13.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-2F,2F air-side panel,DDC-2F-02,AC-13,AC-13.FLT,BI,Air side,-,Filter dirty (DP),
LCP-2F,2F air-side panel,DDC-2F-02,AC-13,AC-13.OAD,AO,Air side,%,Outdoor-air damper,
LCP-2F,2F air-side panel,DDC-2F-02,AC-13,AC-13.FRZ,BI,Air side,-,Freeze protection stat,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-4,EVU-4.RUN,BI,Air side,-,Supply fan run status,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-4,EVU-4.TRIP,BI,Air side,-,Supply fan fault,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-4,EVU-4.SS,BO,Air side,-,Supply fan start/stop,Time schedule; night setback
LCP-2F,2F air-side panel,DDC-2F-03,EVU-4,EVU-4.SPD,AO,Air side,%,Supply fan speed (fixed),No INV control per schedule
LCP-2F,2F air-side panel,DDC-2F-03,EVU-4,EVU-4.SAT,AI,Air side,°C,Supply (off-coil) air temp,Seasonal SAT reset
LCP-2F,2F air-side panel,DDC-2F-03,EVU-4,EVU-4.OAT,AI,Air side,°C,Outdoor-air temp (unit inlet),
LCP-2F,2F air-side panel,DDC-2F-03,EVU-4,EVU-4.OARH,AI,Air side,%RH,Outdoor-air humidity,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-4,EVU-4.CCV,AO,Air side,%,Cooling coil (CHW) valve,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-4,EVU-4.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband
LCP-2F,2F air-side panel,DDC-2F-03,EVU-4,EVU-4.HUM,AO,Air side,%,Steam humidifier valve,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-4,EVU-4.FLT,BI,Air side,-,Filter dirty (DP),
LCP-2F,2F air-side panel,DDC-2F-03,EVU-4,EVU-4.FRZ,BI,Air side,-,Freeze protection stat,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-5,EVU-5.RUN,BI,Air side,-,Supply fan run status,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-5,EVU-5.TRIP,BI,Air side,-,Supply fan fault,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-5,EVU-5.SS,BO,Air side,-,Supply fan start/stop,Time schedule; night setback
LCP-2F,2F air-side panel,DDC-2F-03,EVU-5,EVU-5.SPD,AO,Air side,%,Supply fan speed (fixed),No INV control per schedule
LCP-2F,2F air-side panel,DDC-2F-03,EVU-5,EVU-5.SAT,AI,Air side,°C,Supply (off-coil) air temp,Seasonal SAT reset
LCP-2F,2F air-side panel,DDC-2F-03,EVU-5,EVU-5.OAT,AI,Air side,°C,Outdoor-air temp (unit inlet),
LCP-2F,2F air-side panel,DDC-2F-03,EVU-5,EVU-5.OARH,AI,Air side,%RH,Outdoor-air humidity,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-5,EVU-5.CCV,AO,Air side,%,Cooling coil (CHW) valve,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-5,EVU-5.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband
LCP-2F,2F air-side panel,DDC-2F-03,EVU-5,EVU-5.HUM,AO,Air side,%,Steam humidifier valve,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-5,EVU-5.FLT,BI,Air side,-,Filter dirty (DP),
LCP-2F,2F air-side panel,DDC-2F-03,EVU-5,EVU-5.FRZ,BI,Air side,-,Freeze protection stat,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-6,EVU-6.RUN,BI,Air side,-,Supply fan run status,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-6,EVU-6.TRIP,BI,Air side,-,Supply fan fault,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-6,EVU-6.SS,BO,Air side,-,Supply fan start/stop,Time schedule; night setback
LCP-2F,2F air-side panel,DDC-2F-03,EVU-6,EVU-6.SPD,AO,Air side,%,Supply fan speed (fixed),No INV control per schedule
LCP-2F,2F air-side panel,DDC-2F-03,EVU-6,EVU-6.SAT,AI,Air side,°C,Supply (off-coil) air temp,Seasonal SAT reset
LCP-2F,2F air-side panel,DDC-2F-03,EVU-6,EVU-6.OAT,AI,Air side,°C,Outdoor-air temp (unit inlet),
LCP-2F,2F air-side panel,DDC-2F-03,EVU-6,EVU-6.OARH,AI,Air side,%RH,Outdoor-air humidity,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-6,EVU-6.CCV,AO,Air side,%,Cooling coil (CHW) valve,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-6,EVU-6.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband
LCP-2F,2F air-side panel,DDC-2F-03,EVU-6,EVU-6.HUM,AO,Air side,%,Steam humidifier valve,
LCP-2F,2F air-side panel,DDC-2F-03,EVU-6,EVU-6.FLT,BI,Air side,-,Filter dirty (DP),
LCP-2F,2F air-side panel,DDC-2F-03,EVU-6,EVU-6.FRZ,BI,Air side,-,Freeze protection stat,
LCP-2F,2F air-side panel,DDC-2F-04,EF-2-1,EF-2-1.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-2F,2F air-side panel,DDC-2F-04,EF-2-1,EF-2-1.RUN,BI,Ventilation,-,Run status,
LCP-2F,2F air-side panel,DDC-2F-04,EF-2-1,EF-2-1.TRIP,BI,Ventilation,-,Fault,
LCP-2F,2F air-side panel,DDC-2F-04,EF-46,EF-46.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-2F,2F air-side panel,DDC-2F-04,EF-46,EF-46.RUN,BI,Ventilation,-,Run status,
LCP-2F,2F air-side panel,DDC-2F-04,EF-46,EF-46.TRIP,BI,Ventilation,-,Fault,
LCP-2F,2F air-side panel,DDC-2F-04,EF-47,EF-47.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-2F,2F air-side panel,DDC-2F-04,EF-47,EF-47.RUN,BI,Ventilation,-,Run status,
LCP-2F,2F air-side panel,DDC-2F-04,EF-47,EF-47.TRIP,BI,Ventilation,-,Fault,
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.RUN,BI,Air side,-,Supply fan run status,
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.TRIP,BI,Air side,-,Supply fan fault,
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.SAT,AI,Air side,°C,Supply air temp,SAT/RAT setpoint schedule
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.RAT,AI,Air side,°C,Return air temp,
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.HUM,AO,Air side,%,Steam humidifier valve,
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.RH,AI,Air side,%RH,Return/space humidity,
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.FLT,BI,Air side,-,Filter dirty (DP),
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.OAD,AO,Air side,%,Outdoor-air damper,
LCP-3F,3F air-side panel,DDC-3F-01,AC-14,AC-14.FRZ,BI,Air side,-,Freeze protection stat,
LCP-3F,3F air-side panel,DDC-3F-01,AC-15,AC-15.RUN,BI,Air side,-,Supply fan run status,
LCP-3F,3F air-side panel,DDC-3F-01,AC-15,AC-15.TRIP,BI,Air side,-,Supply fan fault,
LCP-3F,3F air-side panel,DDC-3F-01,AC-15,AC-15.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-3F,3F air-side panel,DDC-3F-01,AC-15,AC-15.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-3F,3F air-side panel,DDC-3F-01,AC-15,AC-15.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-3F,3F air-side panel,DDC-3F-01,AC-15,AC-15.SAT,AI,Air side,°C,Supply air temp,Kitchen SAT 5-12°C
LCP-3F,3F air-side panel,DDC-3F-01,AC-15,AC-15.RAT,AI,Air side,°C,Return air temp,
LCP-3F,3F air-side panel,DDC-3F-01,AC-15,AC-15.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-3F,3F air-side panel,DDC-3F-01,AC-15,AC-15.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-3F,3F air-side panel,DDC-3F-01,AC-15,AC-15.FLT,BI,Air side,-,Filter dirty (DP),
LCP-3F,3F air-side panel,DDC-3F-01,AC-15,AC-15.OAD,AO,Air side,%,Outdoor-air damper,
LCP-3F,3F air-side panel,DDC-3F-01,AC-15,AC-15.FRZ,BI,Air side,-,Freeze protection stat,
LCP-3F,3F air-side panel,DDC-3F-01,AC-16,AC-16.RUN,BI,Air side,-,Supply fan run status,
LCP-3F,3F air-side panel,DDC-3F-01,AC-16,AC-16.TRIP,BI,Air side,-,Supply fan fault,
LCP-3F,3F air-side panel,DDC-3F-01,AC-16,AC-16.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-3F,3F air-side panel,DDC-3F-01,AC-16,AC-16.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-3F,3F air-side panel,DDC-3F-01,AC-16,AC-16.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-3F,3F air-side panel,DDC-3F-01,AC-16,AC-16.SAT,AI,Air side,°C,Supply air temp,Kitchen SAT 5-12°C
LCP-3F,3F air-side panel,DDC-3F-01,AC-16,AC-16.RAT,AI,Air side,°C,Return air temp,
LCP-3F,3F air-side panel,DDC-3F-01,AC-16,AC-16.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-3F,3F air-side panel,DDC-3F-01,AC-16,AC-16.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-3F,3F air-side panel,DDC-3F-01,AC-16,AC-16.FLT,BI,Air side,-,Filter dirty (DP),
LCP-3F,3F air-side panel,DDC-3F-01,AC-16,AC-16.OAD,AO,Air side,%,Outdoor-air damper,
LCP-3F,3F air-side panel,DDC-3F-01,AC-16,AC-16.FRZ,BI,Air side,-,Freeze protection stat,
LCP-3F,3F air-side panel,DDC-3F-02,EVU-7,EVU-7.RUN,BI,Air side,-,Supply fan run status,
LCP-3F,3F air-side panel,DDC-3F-02,EVU-7,EVU-7.TRIP,BI,Air side,-,Supply fan fault,
LCP-3F,3F air-side panel,DDC-3F-02,EVU-7,EVU-7.SS,BO,Air side,-,Supply fan start/stop,Time schedule; night setback
LCP-3F,3F air-side panel,DDC-3F-02,EVU-7,EVU-7.SPD,AO,Air side,%,Supply fan speed (fixed),No INV control per schedule
LCP-3F,3F air-side panel,DDC-3F-02,EVU-7,EVU-7.SAT,AI,Air side,°C,Supply (off-coil) air temp,Seasonal SAT reset
LCP-3F,3F air-side panel,DDC-3F-02,EVU-7,EVU-7.OAT,AI,Air side,°C,Outdoor-air temp (unit inlet),
LCP-3F,3F air-side panel,DDC-3F-02,EVU-7,EVU-7.OARH,AI,Air side,%RH,Outdoor-air humidity,
LCP-3F,3F air-side panel,DDC-3F-02,EVU-7,EVU-7.CCV,AO,Air side,%,Cooling coil (CHW) valve,
LCP-3F,3F air-side panel,DDC-3F-02,EVU-7,EVU-7.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband
LCP-3F,3F air-side panel,DDC-3F-02,EVU-7,EVU-7.HUM,AO,Air side,%,Steam humidifier valve,
LCP-3F,3F air-side panel,DDC-3F-02,EVU-7,EVU-7.FLT,BI,Air side,-,Filter dirty (DP),
LCP-3F,3F air-side panel,DDC-3F-02,EVU-7,EVU-7.FRZ,BI,Air side,-,Freeze protection stat,
LCP-3F,3F air-side panel,DDC-3F-03,EF-56,EF-56.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3F,3F air-side panel,DDC-3F-03,EF-56,EF-56.RUN,BI,Ventilation,-,Run status,
LCP-3F,3F air-side panel,DDC-3F-03,EF-56,EF-56.TRIP,BI,Ventilation,-,Fault,
LCP-3F,3F air-side panel,DDC-3F-03,EF-60,EF-60.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3F,3F air-side panel,DDC-3F-03,EF-60,EF-60.RUN,BI,Ventilation,-,Run status,
LCP-3F,3F air-side panel,DDC-3F-03,EF-60,EF-60.TRIP,BI,Ventilation,-,Fault,
LCP-3F,3F air-side panel,DDC-3F-03,EF-61,EF-61.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3F,3F air-side panel,DDC-3F-03,EF-61,EF-61.RUN,BI,Ventilation,-,Run status,
LCP-3F,3F air-side panel,DDC-3F-03,EF-61,EF-61.TRIP,BI,Ventilation,-,Fault,
LCP-3F,3F air-side panel,DDC-3F-04,EF-62,EF-62.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3F,3F air-side panel,DDC-3F-04,EF-62,EF-62.RUN,BI,Ventilation,-,Run status,
LCP-3F,3F air-side panel,DDC-3F-04,EF-62,EF-62.TRIP,BI,Ventilation,-,Fault,
LCP-3F,3F air-side panel,DDC-3F-04,EF-76,EF-76.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3F,3F air-side panel,DDC-3F-04,EF-76,EF-76.RUN,BI,Ventilation,-,Run status,
LCP-3F,3F air-side panel,DDC-3F-04,EF-76,EF-76.TRIP,BI,Ventilation,-,Fault,
LCP-3F,3F air-side panel,DDC-3F-04,EF-77,EF-77.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3F,3F air-side panel,DDC-3F-04,EF-77,EF-77.RUN,BI,Ventilation,-,Run status,
LCP-3F,3F air-side panel,DDC-3F-04,EF-77,EF-77.TRIP,BI,Ventilation,-,Fault,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-17,AC-17.RUN,BI,Air side,-,Supply fan run status,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-17,AC-17.TRIP,BI,Air side,-,Supply fan fault,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-17,AC-17.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-17,AC-17.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-17,AC-17.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-17,AC-17.SAT,AI,Air side,°C,Supply air temp,Kitchen SAT 5-12°C
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-17,AC-17.RAT,AI,Air side,°C,Return air temp,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-17,AC-17.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-17,AC-17.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-17,AC-17.FLT,BI,Air side,-,Filter dirty (DP),
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-17,AC-17.OAD,AO,Air side,%,Outdoor-air damper,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-17,AC-17.FRZ,BI,Air side,-,Freeze protection stat,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-18,AC-18.RUN,BI,Air side,-,Supply fan run status,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-18,AC-18.TRIP,BI,Air side,-,Supply fan fault,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-18,AC-18.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-18,AC-18.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-18,AC-18.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-18,AC-18.SAT,AI,Air side,°C,Supply air temp,Kitchen SAT 5-12°C
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-18,AC-18.RAT,AI,Air side,°C,Return air temp,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-18,AC-18.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-18,AC-18.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-18,AC-18.FLT,BI,Air side,-,Filter dirty (DP),
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-18,AC-18.OAD,AO,Air side,%,Outdoor-air damper,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-18,AC-18.FRZ,BI,Air side,-,Freeze protection stat,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.RUN,BI,Air side,-,Supply fan run status,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.TRIP,BI,Air side,-,Supply fan fault,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.SAT,AI,Air side,°C,Supply air temp,SAT/RAT setpoint schedule
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.RAT,AI,Air side,°C,Return air temp,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.HUM,AO,Air side,%,Steam humidifier valve,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.RH,AI,Air side,%RH,Return/space humidity,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.FLT,BI,Air side,-,Filter dirty (DP),
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.OAD,AO,Air side,%,Outdoor-air damper,
LCP-4F,4F–5F air-side panel,DDC-4F-01,AC-19,AC-19.FRZ,BI,Air side,-,Freeze protection stat,
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-20,AC-20.RUN,BI,Air side,-,Supply fan run status,
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-20,AC-20.TRIP,BI,Air side,-,Supply fan fault,
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-20,AC-20.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-20,AC-20.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-20,AC-20.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-20,AC-20.SAT,AI,Air side,°C,Supply air temp,SAT/RAT setpoint schedule
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-20,AC-20.RAT,AI,Air side,°C,Return air temp,
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-20,AC-20.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-20,AC-20.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-20,AC-20.FLT,BI,Air side,-,Filter dirty (DP),
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-20,AC-20.OAD,AO,Air side,%,Outdoor-air damper,
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-20,AC-20.FRZ,BI,Air side,-,Freeze protection stat,
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-21,AC-21.RUN,BI,Air side,-,Supply fan run status,
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-21,AC-21.TRIP,BI,Air side,-,Supply fan fault,
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-21,AC-21.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-21,AC-21.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-21,AC-21.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-21,AC-21.SAT,AI,Air side,°C,Supply air temp,Kitchen SAT 5-12°C
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-21,AC-21.RAT,AI,Air side,°C,Return air temp,
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-21,AC-21.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-21,AC-21.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-21,AC-21.FLT,BI,Air side,-,Filter dirty (DP),
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-21,AC-21.OAD,AO,Air side,%,Outdoor-air damper,
LCP-4F,4F–5F air-side panel,DDC-4F-02,AC-21,AC-21.FRZ,BI,Air side,-,Freeze protection stat,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.RUN,BI,Air side,-,Supply fan run status,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.TRIP,BI,Air side,-,Supply fan fault,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.SS,BO,Air side,-,Supply fan start/stop,Time schedule; night setback
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV schedule; demand vent
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.SAT,AI,Air side,°C,Supply (off-coil) air temp,Seasonal SAT reset
